App_Config, Throughput, Latency, CPU, MEM
Flink_FD_1 1 1, 769567.0, 11321.93, 12%, 12%
Flink_FD_4 4 4, 2171732.0, 52601.355, 33%, 13%
Flink_FD_7 7 7, 2702738.0, 135200.64755000002, 44%, 13%
Flink_SD_1 1 1 1, 1026538.0, 18922.206250000003, 8%, 11%
Flink_SD_4 4 4 4, 2091812.0, 91298.735, 15%, 11%
Flink_SD_7 7 7 7, 2527051.0, 207215.0021, 18%, 12%
Flink_VS_config_1, 55745.0, 5977310.3145, 57%, 23%
Flink_VS_config_2, 58445.0, 6112136.5618, 54%, 23%
Flink_VS_config_3, 55104.0, 6203755.9611, 55%, 23%
Flink_WC_1 1 1 1, 56499.0, 8322.329, 11%, 10%
Flink_WC_4 4 4 4, 154602.0, 36184.35925, 33%, 11%
Flink_WC_7 7 7 7, 197235.0, 77152.91054999996, 48%, 11%
Flink_YSB_1 1 1 1 1, 2752954, 3253.3050999999996, 12%, 9%
Flink_YSB_4 4 4 4 4, 7674552, 5922.246099999999, 35%, 11%
Flink_YSB_7 7 7 7 7, 9190835, 23582.449149999993, 53%, 11%
Storm_FD_1 1 1, 466471, 84956.03719999999, 10%, 9%
Storm_FD_4 4 4, 238295, 161927.45755, 30%, 10%
Storm_FD_7 7 7, 158449, 224054.7605999999, 47%, 10%
Storm_SD_1 1 1 1, 1209341, 41021.161599999985, 15%, 9%
Storm_SD_4 4 4 4, 446243, 82903.23074999999, 43%, 10%
Storm_SD_7 7 7 7, 272132, 173894.49915, 56%, 10%
Storm_VS_config_1, 71824, 6398816.13135, 53%, 23%
Storm_VS_config_2, 69426, 6882591.15795, 55%, 22%
Storm_VS_config_3, 65276, 7375997.271, 56%, 24%
Storm_WC_1 1 1 1, 53292, 758783.4029, 16%, 9%
Storm_WC_4 4 4 4, 19742, 1857370.28205, 43%, 10%
Storm_WC_7 7 7 7, 12621, 3018172.2418, 56%, 10%
Storm_YSB_1 1 1 1 1, 2724383, 11131.3713, 16%, 9%
Storm_YSB_4 4 4 4 4, 1171957, 14885.0001, 50%, 9%
Storm_YSB_7 7 7 7 7, 526769, 80925.88605, 57%, 9%
